"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","771.90","778.00","781.75","759.20","17.05M","-0.31%"
"14-11-2024","774.30","786.60","792.00","772.00","11.74M","-1.52%"
"13-11-2024","786.25","787.00","792.65","775.55","14.67M","0.18%"
"12-11-2024","784.85","806.00","813.10","783.05","16.53M","-2.47%"
"11-11-2024","804.70","801.00","831.45","792.00","27.59M","-0.09%"
"08-11-2024","805.45","821.95","822.00","801.10","16.07M","-1.74%"
"07-11-2024","819.75","841.00","842.75","817.30","13.24M","-2.38%"
"06-11-2024","839.70","843.90","843.90","826.00","10.58M","0.48%"
"05-11-2024","835.65","821.50","843.60","820.40","10.22M","1.40%"
"04-11-2024","824.10","840.00","844.45","814.50","15.51M","-2.29%"
"01-11-2024","843.45","847.95","847.95","840.00","2.90M","1.13%"
"31-10-2024","834.05","843.85","843.85","831.85","11.90M","-0.73%"
"30-10-2024","840.20","846.00","853.60","838.05","12.93M","-0.30%"
"29-10-2024","842.75","880.25","882.50","825.70","26.82M","-4.06%"
"28-10-2024","878.45","867.85","886.75","860.20","7.11M","1.64%"
"25-10-2024","864.30","883.90","885.75","857.30","10.87M","-1.78%"
"24-10-2024","880.00","875.25","890.00","875.25","7.23M","0.27%"
"23-10-2024","877.65","879.00","885.60","863.30","10.55M","-0.21%"
"22-10-2024","879.50","905.00","906.10","875.25","13.62M","-2.63%"
"21-10-2024","903.30","912.05","917.65","898.10","7.39M","-0.75%"
"18-10-2024","910.15","894.30","917.70","886.80","11.53M","2.08%"
"17-10-2024","891.60","914.95","914.95","890.05","13.86M","-1.75%"
"16-10-2024","907.45","917.05","923.00","900.00","10.30M","-1.07%"
"15-10-2024","917.30","932.95","935.35","913.00","9.06M","-1.18%"
"14-10-2024","928.25","930.00","940.00","925.35","5.74M","-0.26%"
"11-10-2024","930.70","932.00","937.00","928.50","4.46M","0.24%"
"10-10-2024","928.50","933.75","943.60","912.35","13.25M","-1.13%"
"09-10-2024","939.15","926.80","948.45","925.50","11.56M","2.10%"
"08-10-2024","919.80","916.00","924.80","893.85","21.18M","-0.87%"
"07-10-2024","927.85","942.00","944.45","915.00","11.77M","-0.31%"
"04-10-2024","930.75","930.00","949.20","920.00","19.19M","0.55%"
"03-10-2024","925.70","939.00","950.15","925.00","24.42M","-4.09%"
"01-10-2024","965.20","976.90","984.50","958.90","10.09M","-0.97%"
"30-09-2024","974.65","993.00","996.95","971.80","12.23M","-1.85%"
"27-09-2024","993.00","996.00","1,000.40","989.15","10.36M","-0.02%"
"26-09-2024","993.15","970.80","994.95","965.60","21.64M","3.07%"
"25-09-2024","963.60","982.40","982.50","959.25","12.96M","-1.40%"
"24-09-2024","977.30","974.00","985.00","972.60","12.76M","0.57%"
"23-09-2024","971.80","973.50","979.20","966.05","10.25M","0.10%"
"20-09-2024","970.85","967.00","977.50","949.20","16.76M","0.40%"
"19-09-2024","967.00","970.40","978.95","956.35","13.47M","0.51%"
"18-09-2024","962.05","978.20","983.70","957.15","12.04M","-1.32%"
"17-09-2024","974.95","995.00","995.00","960.00","44.52M","-1.36%"
"16-09-2024","988.40","997.00","999.90","984.50","5.84M","-0.37%"
"13-09-2024","992.10","994.90","1,006.00","988.00","13.20M","0.60%"
"12-09-2024","986.15","976.30","988.00","958.00","25.68M","1.01%"
"11-09-2024","976.30","1,000.00","1,011.55","971.25","36.14M","-5.74%"
"10-09-2024","1,035.80","1,049.00","1,049.00","1,032.20","6.92M","-0.28%"
"09-09-2024","1,038.70","1,049.35","1,049.95","1,026.25","7.21M","-1.01%"
"06-09-2024","1,049.35","1,068.80","1,072.95","1,040.50","8.72M","-1.85%"
"05-09-2024","1,069.15","1,081.00","1,085.85","1,066.95","7.90M","-1.05%"
"04-09-2024","1,080.45","1,079.00","1,085.00","1,072.10","4.67M","-0.43%"
"03-09-2024","1,085.10","1,097.60","1,100.00","1,082.20","5.09M","-0.69%"
"02-09-2024","1,092.65","1,105.00","1,105.00","1,087.35","8.12M","-1.68%"
"30-08-2024","1,111.35","1,113.95","1,115.00","1,097.45","17.65M","-0.92%"
"29-08-2024","1,121.65","1,079.05","1,142.00","1,066.00","40.66M","4.38%"
"28-08-2024","1,074.55","1,082.95","1,088.70","1,070.10","8.15M","-0.25%"
"27-08-2024","1,077.25","1,093.05","1,096.65","1,075.00","8.81M","-1.39%"
"26-08-2024","1,092.40","1,089.00","1,103.35","1,082.85","9.42M","0.67%"
"23-08-2024","1,085.15","1,073.00","1,092.60","1,071.00","10.18M","1.56%"
"22-08-2024","1,068.45","1,090.00","1,094.75","1,064.95","9.38M","-1.54%"
"21-08-2024","1,085.20","1,089.00","1,095.30","1,083.30","4.87M","-0.16%"
"20-08-2024","1,086.90","1,097.00","1,098.05","1,082.05","5.63M","-0.07%"
"19-08-2024","1,087.70","1,105.90","1,107.00","1,085.00","6.91M","-0.97%"
"16-08-2024","1,098.35","1,072.00","1,099.95","1,070.00","11.44M","3.39%"
"14-08-2024","1,062.35","1,057.00","1,067.05","1,047.00","8.21M","0.84%"
"13-08-2024","1,053.45","1,074.85","1,075.50","1,048.20","7.51M","-2.11%"
"12-08-2024","1,076.15","1,065.00","1,079.90","1,055.00","11.31M","0.75%"
"09-08-2024","1,068.10","1,055.00","1,082.95","1,052.05","15.44M","2.53%"
"08-08-2024","1,041.75","1,034.95","1,056.40","1,027.00","19.53M","1.60%"
"07-08-2024","1,025.30","1,036.05","1,040.20","1,015.05","9.98M","1.14%"
"06-08-2024","1,013.75","1,030.00","1,060.65","1,008.40","16.73M","-0.27%"
"05-08-2024","1,016.45","1,059.95","1,065.00","1,014.05","26.65M","-7.31%"
"02-08-2024","1,096.65","1,120.00","1,120.00","1,090.05","21.97M","-4.17%"
"01-08-2024","1,144.40","1,167.00","1,176.00","1,136.50","14.38M","-1.06%"
"31-07-2024","1,156.65","1,164.00","1,167.90","1,145.30","10.86M","-0.45%"
"30-07-2024","1,161.85","1,125.80","1,179.00","1,118.60","28.59M","3.37%"
"29-07-2024","1,124.00","1,124.00","1,139.90","1,118.60","11.85M","0.51%"
"26-07-2024","1,118.30","1,111.95","1,120.50","1,083.60","21.23M","2.51%"
"25-07-2024","1,090.95","1,029.00","1,094.00","1,024.35","32.77M","6.15%"
"24-07-2024","1,027.70","997.80","1,034.25","995.15","11.47M","2.59%"
"23-07-2024","1,001.80","1,007.90","1,008.65","967.20","10.38M","-0.13%"
"22-07-2024","1,003.15","990.00","1,008.00","976.55","7.40M","1.33%"
"19-07-2024","990.00","1,024.00","1,024.00","986.65","7.40M","-3.37%"
"18-07-2024","1,024.55","1,022.95","1,027.00","1,008.00","8.01M","0.33%"
"16-07-2024","1,021.15","1,025.50","1,029.60","1,019.20","4.82M","-0.32%"
"15-07-2024","1,024.45","1,021.35","1,029.80","1,017.30","5.85M","0.76%"
"12-07-2024","1,016.75","1,023.85","1,025.90","1,015.00","7.34M","-0.40%"
"11-07-2024","1,020.80","1,008.00","1,025.50","1,007.05","11.98M","1.52%"
"10-07-2024","1,005.50","1,015.00","1,019.85","986.05","13.41M","-0.93%"
"09-07-2024","1,014.95","1,000.95","1,017.00","998.10","10.95M","1.23%"
"08-07-2024","1,002.60","1,005.00","1,016.60","996.20","13.31M","0.90%"
"05-07-2024","993.65","1,005.00","1,006.60","989.95","9.05M","-0.46%"
"04-07-2024","998.20","984.00","1,004.00","979.60","12.14M","2.31%"
"03-07-2024","975.65","984.95","987.35","973.50","7.35M","-0.58%"
"02-07-2024","981.30","1,004.05","1,005.00","979.10","12.28M","-2.07%"
"01-07-2024","1,002.05","989.75","1,005.50","985.20","14.01M","1.24%"
"28-06-2024","989.75","975.00","998.50","972.55","23.03M","1.82%"
"27-06-2024","972.10","952.50","974.85","948.05","19.39M","2.13%"
"26-06-2024","951.85","956.00","962.50","950.10","6.91M","-0.33%"
"25-06-2024","955.00","960.00","962.85","949.30","7.30M","-0.32%"
"24-06-2024","958.05","960.90","963.50","950.05","6.66M","-0.39%"
"21-06-2024","961.80","979.00","980.90","958.10","14.30M","-1.68%"
"20-06-2024","978.25","980.00","988.40","976.35","7.30M","0.09%"
"19-06-2024","977.35","990.00","994.90","975.15","7.61M","-0.87%"
"18-06-2024","985.90","1,000.00","1,003.55","984.00","9.85M","-0.75%"
"14-06-2024","993.40","990.00","997.25","981.40","11.59M","0.77%"
"13-06-2024","985.85","1,002.00","1,002.00","980.75","12.16M","-0.29%"
"12-06-2024","988.70","994.50","1,010.25","987.00","17.53M","0.16%"
"11-06-2024","987.10","973.80","992.55","966.65","14.83M","1.54%"
"10-06-2024","972.15","973.99","981.87","966.12","9.26M","0.48%"
"07-06-2024","967.52","937.11","970.01","932.37","15.58M","3.44%"
"06-06-2024","935.36","937.11","943.09","928.34","11.79M","0.89%"
"05-06-2024","927.09","922.10","930.88","887.26","13.75M","2.88%"
"04-06-2024","901.12","945.08","945.08","852.77","26.55M","-4.90%"
"03-06-2024","947.53","960.04","960.04","931.13","12.31M","2.97%"
"31-05-2024","920.16","928.78","934.37","917.27","14.29M","-0.10%"
"30-05-2024","921.11","940.60","948.52","918.17","10.17M","-2.08%"
"29-05-2024","940.70","944.04","947.58","935.91","8.18M","-0.42%"
"28-05-2024","944.64","956.05","958.94","943.09","6.62M","-1.14%"
"27-05-2024","955.55","961.93","963.48","949.07","6.92M","-0.21%"
"24-05-2024","957.59","959.54","967.96","955.05","9.59M","-0.19%"
"23-05-2024","959.39","947.08","960.49","942.14","11.21M","1.57%"
"22-05-2024","944.59","949.07","951.96","939.65","9.50M","-0.40%"
"21-05-2024","948.37","951.07","953.71","945.78","10.06M","-0.58%"
"18-05-2024","953.95","950.00","958.00","947.00","1.93M","1.18%"
"17-05-2024","942.79","941.10","950.47","938.10","13.21M","0.99%"
"16-05-2024","933.52","950.27","951.46","916.17","31.24M","-1.15%"
"15-05-2024","944.39","967.96","969.96","942.19","19.67M","-1.80%"
"14-05-2024","961.68","962.13","965.02","950.32","16.33M","0.51%"
"13-05-2024","956.80","1,001.91","1,005.60","944.29","58.97M","-8.30%"
