"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","4,911.35","4,970.00","4,970.00","4,791.65","439.09K","-0.09%"
"14-11-2024","4,915.60","5,046.50","5,050.50","4,901.00","479.98K","-2.59%"
"13-11-2024","5,046.50","5,009.00","5,087.60","4,938.45","928.24K","0.38%"
"12-11-2024","5,027.55","5,420.00","5,426.90","5,005.00","2.44M","-7.49%"
"11-11-2024","5,434.65","5,801.65","5,902.15","5,401.15","804.82K","-5.44%"
"08-11-2024","5,747.15","5,682.20","5,792.85","5,641.55","306.28K","1.02%"
"07-11-2024","5,688.90","5,710.00","5,713.70","5,606.00","284.54K","-0.11%"
"06-11-2024","5,694.90","5,636.30","5,719.00","5,608.05","233.80K","1.60%"
"05-11-2024","5,605.10","5,634.15","5,669.00","5,584.55","185.87K","-0.36%"
"04-11-2024","5,625.20","5,685.00","5,698.95","5,541.85","249.78K","-1.19%"
"01-11-2024","5,693.05","5,768.55","5,768.55","5,652.05","31.71K","-0.59%"
"31-10-2024","5,726.90","5,779.00","5,781.00","5,708.00","208.89K","-0.96%"
"30-10-2024","5,782.50","5,666.60","5,799.00","5,641.60","218.18K","2.03%"
"29-10-2024","5,667.50","5,730.80","5,759.90","5,611.05","204.75K","-0.96%"
"28-10-2024","5,722.30","5,677.00","5,779.00","5,669.40","131.89K","0.93%"
"25-10-2024","5,669.40","5,612.40","5,706.45","5,610.00","176.68K","1.02%"
"24-10-2024","5,612.40","5,750.85","5,780.50","5,601.60","269.80K","-2.37%"
"23-10-2024","5,748.85","5,698.60","5,797.60","5,690.05","123.10K","0.38%"
"22-10-2024","5,727.00","5,787.40","5,804.00","5,711.80","320.61K","-0.89%"
"21-10-2024","5,778.30","5,887.20","5,895.50","5,762.60","296.73K","-1.85%"
"18-10-2024","5,887.20","5,984.95","5,998.00","5,870.00","354.90K","-1.69%"
"17-10-2024","5,988.50","6,090.10","6,095.90","5,966.25","188.12K","-1.67%"
"16-10-2024","6,090.10","6,065.00","6,114.00","6,021.15","276.68K","0.35%"
"15-10-2024","6,068.70","6,016.35","6,082.95","5,986.95","426.22K","1.52%"
"14-10-2024","5,978.05","6,005.10","6,024.30","5,900.00","219.60K","-0.01%"
"11-10-2024","5,978.50","6,030.55","6,039.50","5,961.10","94.95K","-0.39%"
"10-10-2024","6,002.15","6,127.00","6,159.85","5,980.05","287.48K","-1.56%"
"09-10-2024","6,097.25","6,158.65","6,185.00","6,070.05","551.09K","-1.73%"
"08-10-2024","6,204.40","6,137.70","6,234.80","6,052.05","708.47K","1.37%"
"07-10-2024","6,120.30","6,222.65","6,235.00","6,105.00","374.59K","-1.38%"
"04-10-2024","6,206.00","6,278.25","6,339.95","6,179.85","395.75K","-1.99%"
"03-10-2024","6,331.75","6,444.20","6,469.90","6,290.00","495.79K","-1.77%"
"01-10-2024","6,446.05","6,306.90","6,463.60","6,306.90","416.64K","1.70%"
"30-09-2024","6,338.15","6,252.65","6,362.90","6,241.10","442.62K","1.11%"
"27-09-2024","6,268.80","6,237.70","6,332.95","6,180.80","400.54K","0.24%"
"26-09-2024","6,254.10","6,200.00","6,270.40","6,154.35","327.30K","1.19%"
"25-09-2024","6,180.30","6,203.00","6,203.00","6,101.55","357.15K","-0.37%"
"24-09-2024","6,203.15","6,200.75","6,245.90","6,185.05","234.71K","-0.13%"
"23-09-2024","6,211.20","6,235.25","6,250.00","6,190.80","312.56K","0.01%"
"20-09-2024","6,210.55","6,165.35","6,258.65","6,125.85","663.56K","1.24%"
"19-09-2024","6,134.50","6,128.90","6,225.00","6,113.65","362.39K","0.18%"
"18-09-2024","6,123.25","6,135.00","6,166.55","6,060.05","218.42K","0.20%"
"17-09-2024","6,111.05","6,073.45","6,204.65","6,069.15","527.92K","0.79%"
"16-09-2024","6,063.00","6,000.00","6,130.00","5,936.80","352.34K","-1.14%"
"13-09-2024","6,133.10","6,138.00","6,148.80","6,057.35","274.85K","0.39%"
"12-09-2024","6,109.25","6,018.65","6,128.70","6,004.70","548.75K","1.67%"
"11-09-2024","6,008.65","5,953.05","6,047.05","5,947.25","437.06K","0.65%"
"10-09-2024","5,969.90","5,980.05","6,010.00","5,930.05","337.83K","0.51%"
"09-09-2024","5,939.45","5,859.95","5,961.20","5,846.20","321.19K","1.64%"
"06-09-2024","5,843.55","5,846.70","5,884.80","5,827.10","213.56K","-0.11%"
"05-09-2024","5,850.00","5,911.75","5,920.00","5,833.30","170.01K","-1.29%"
"04-09-2024","5,926.55","5,849.95","5,935.35","5,828.00","219.28K","0.18%"
"03-09-2024","5,916.05","5,933.00","5,944.00","5,870.00","258.13K","-0.10%"
"02-09-2024","5,922.15","5,882.05","5,933.95","5,865.00","307.02K","1.14%"
"30-08-2024","5,855.25","5,842.95","5,908.90","5,793.25","519.39K","0.41%"
"29-08-2024","5,831.40","5,710.00","5,845.00","5,696.15","351.33K","2.25%"
"28-08-2024","5,703.35","5,746.55","5,775.40","5,690.05","161.45K","-1.06%"
"27-08-2024","5,764.30","5,828.80","5,845.40","5,735.00","175.74K","-0.56%"
"26-08-2024","5,796.95","5,800.00","5,860.00","5,776.25","265.11K","0.07%"
"23-08-2024","5,792.65","5,837.00","5,850.00","5,784.35","124.44K","-0.76%"
"22-08-2024","5,836.80","5,858.00","5,858.00","5,808.65","160.15K","-0.01%"
"21-08-2024","5,837.35","5,773.80","5,849.90","5,756.50","169.22K","1.24%"
"20-08-2024","5,765.80","5,740.45","5,773.80","5,728.25","189.04K","0.58%"
"19-08-2024","5,732.50","5,745.00","5,763.25","5,718.10","102.45K","0.05%"
"16-08-2024","5,729.65","5,670.50","5,742.45","5,662.50","144.97K","1.25%"
"14-08-2024","5,659.15","5,676.00","5,695.20","5,594.15","164.58K","-0.13%"
"13-08-2024","5,666.50","5,678.95","5,714.95","5,617.05","236.51K","0.37%"
"12-08-2024","5,645.75","5,745.00","5,774.50","5,625.00","622.19K","-1.65%"
"09-08-2024","5,740.30","5,770.40","5,785.55","5,720.00","232.22K","-0.08%"
"08-08-2024","5,744.65","5,844.75","5,861.95","5,725.00","271.63K","-1.58%"
"07-08-2024","5,836.80","5,890.20","5,924.80","5,809.05","314.94K","-0.30%"
"06-08-2024","5,854.50","5,724.55","5,921.00","5,710.15","727.87K","2.75%"
"05-08-2024","5,697.90","5,709.95","5,842.95","5,650.05","1.11M","-0.39%"
"02-08-2024","5,720.35","5,708.05","5,808.00","5,630.30","407.00K","-0.17%"
"01-08-2024","5,730.15","5,784.45","5,839.90","5,700.00","304.41K","-0.94%"
"31-07-2024","5,784.45","5,897.00","5,897.00","5,770.15","271.80K","-0.99%"
"30-07-2024","5,842.20","5,898.40","5,989.40","5,831.30","191.68K","-0.94%"
"29-07-2024","5,897.60","5,898.00","5,957.60","5,840.05","129.35K","0.42%"
"26-07-2024","5,872.80","5,830.00","5,882.65","5,813.10","146.74K","0.74%"
