"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","2,422.90","2,401.15","2,425.00","2,375.75","1.37M","1.41%"
"14-11-2024","2,389.20","2,460.40","2,464.70","2,383.70","2.44M","-3.07%"
"13-11-2024","2,464.95","2,462.10","2,472.80","2,450.40","1.26M","0.14%"
"12-11-2024","2,461.50","2,495.00","2,496.95","2,456.00","1.62M","-1.19%"
"11-11-2024","2,491.05","2,509.00","2,514.90","2,475.05","1.18M","-0.66%"
"08-11-2024","2,507.70","2,483.95","2,515.25","2,467.30","1.70M","1.30%"
"07-11-2024","2,475.50","2,500.70","2,509.90","2,466.10","1.32M","-1.01%"
"06-11-2024","2,500.70","2,515.20","2,522.10","2,495.00","1.22M","-0.42%"
"05-11-2024","2,511.35","2,510.01","2,520.22","2,497.06","702.05K","-0.14%"
"04-11-2024","2,514.79","2,536.90","2,536.90","2,493.57","1.10M","-0.50%"
"01-11-2024","2,527.44","2,533.86","2,535.85","2,501.39","118.53K","0.37%"
"31-10-2024","2,518.22","2,544.82","2,553.33","2,514.09","1.90M","-1.05%"
"30-10-2024","2,544.82","2,546.86","2,553.13","2,523.35","1.20M","0.29%"
"29-10-2024","2,537.55","2,575.45","2,575.45","2,525.94","1.70M","-1.09%"
"28-10-2024","2,565.58","2,533.91","2,579.33","2,510.10","852.83K","1.89%"
"25-10-2024","2,518.02","2,492.38","2,529.93","2,490.19","2.76M","0.92%"
"24-10-2024","2,495.17","2,636.50","2,636.50","2,442.87","9.22M","-5.80%"
"23-10-2024","2,648.75","2,610.60","2,682.37","2,610.60","1.43M","-0.84%"
"22-10-2024","2,671.06","2,674.45","2,699.25","2,663.15","1.27M","-0.44%"
"21-10-2024","2,682.87","2,704.23","2,727.14","2,669.82","792.35K","-0.87%"
"18-10-2024","2,706.32","2,727.79","2,729.13","2,682.77","1.14M","-0.79%"
"17-10-2024","2,727.79","2,768.43","2,770.97","2,712.65","1.37M","-1.53%"
"16-10-2024","2,770.22","2,778.09","2,786.46","2,744.67","1.17M","-0.01%"
"15-10-2024","2,770.42","2,782.02","2,788.20","2,754.28","1.08M","-0.27%"
"14-10-2024","2,778.04","2,780.53","2,793.58","2,754.03","874.01K","0.21%"
"11-10-2024","2,772.16","2,753.83","2,778.94","2,726.20","679.31K","1.03%"
"10-10-2024","2,743.77","2,759.01","2,776.34","2,722.36","2.07M","-0.51%"
"09-10-2024","2,757.97","2,812.20","2,814.64","2,749.75","1.48M","-1.77%"
"08-10-2024","2,807.62","2,832.72","2,874.55","2,787.60","1.76M","-0.52%"
"07-10-2024","2,822.16","2,833.72","2,855.08","2,813.85","1.28M","-0.54%"
"04-10-2024","2,837.45","2,879.53","2,902.44","2,805.88","2.46M","-1.54%"
"03-10-2024","2,881.88","2,897.21","2,911.51","2,849.75","1.23M","-1.04%"
"01-10-2024","2,912.15","2,950.95","2,950.95","2,879.93","1.18M","-1.17%"
"30-09-2024","2,946.57","2,952.44","2,986.01","2,930.93","1.63M","-0.27%"
"27-09-2024","2,954.49","2,974.26","3,017.98","2,941.04","2.98M","-0.66%"
"26-09-2024","2,974.26","2,939.40","2,980.98","2,929.53","1.90M","1.26%"
"25-09-2024","2,937.25","2,938.85","2,948.61","2,893.58","1.06M","-0.05%"
"24-09-2024","2,938.85","3,008.02","3,008.02","2,934.42","1.93M","-2.58%"
"23-09-2024","3,016.54","2,968.18","3,022.96","2,958.17","1.30M","1.71%"
"20-09-2024","2,965.79","2,913.20","2,977.49","2,883.92","3.64M","2.26%"
"19-09-2024","2,900.20","2,864.84","2,922.66","2,861.95","1.71M","1.25%"
"18-09-2024","2,864.44","2,862.60","2,882.07","2,850.35","464.80K","0.08%"
"17-09-2024","2,862.10","2,855.73","2,902.34","2,848.76","1.10M","0.22%"
"16-09-2024","2,855.73","2,898.46","2,898.46","2,796.27","1.49M","-2.25%"
"13-09-2024","2,921.32","2,944.68","2,944.68","2,906.93","1.90M","-0.79%"
"12-09-2024","2,944.68","2,899.46","2,951.65","2,882.72","2.45M","1.80%"
"11-09-2024","2,892.63","2,900.05","2,938.30","2,886.61","1.91M","0.19%"
"10-09-2024","2,887.10","2,922.36","2,925.95","2,876.05","1.54M","-0.79%"
"09-09-2024","2,910.21","2,841.78","2,926.55","2,831.92","3.34M","2.92%"
"06-09-2024","2,827.69","2,816.88","2,855.08","2,816.88","1.67M","0.02%"
"05-09-2024","2,827.19","2,828.79","2,843.68","2,812.45","1.95M","-0.10%"
"04-09-2024","2,829.98","2,768.98","2,832.57","2,760.66","1.64M","1.68%"
"03-09-2024","2,783.22","2,768.98","2,816.73","2,763.99","2.02M","0.19%"
"02-09-2024","2,777.99","2,782.92","2,797.76","2,767.98","957.95K","0.40%"
"30-08-2024","2,766.98","2,784.61","2,805.13","2,749.15","4.03M","-0.26%"
"29-08-2024","2,774.20","2,758.96","2,798.86","2,734.11","2.13M","0.76%"
"28-08-2024","2,753.39","2,749.05","2,770.72","2,734.86","1.72M","-0.09%"
"27-08-2024","2,755.93","2,797.86","2,812.90","2,748.61","1.36M","-1.92%"
"26-08-2024","2,809.96","2,804.43","2,823.71","2,792.48","1.15M","0.20%"
"23-08-2024","2,804.43","2,788.10","2,809.81","2,760.36","2.11M","0.82%"
"22-08-2024","2,781.72","2,791.83","2,798.86","2,771.07","1.55M","0.06%"
"21-08-2024","2,780.13","2,738.59","2,784.01","2,732.07","1.42M","1.46%"
"20-08-2024","2,740.14","2,731.67","2,745.32","2,724.20","1.10M","0.31%"
"19-08-2024","2,731.67","2,739.14","2,748.80","2,726.20","1.13M","-0.21%"
"16-08-2024","2,737.35","2,727.04","2,742.68","2,699.95","1.73M","0.96%"
"14-08-2024","2,711.25","2,730.13","2,731.67","2,695.87","947.00K","-0.71%"
"13-08-2024","2,730.53","2,731.13","2,746.71","2,719.27","1.05M","-0.27%"
"12-08-2024","2,737.80","2,727.14","2,752.44","2,711.60","1.30M","0.05%"
"09-08-2024","2,736.30","2,745.07","2,747.06","2,707.82","1.28M","0.51%"
"08-08-2024","2,722.36","2,743.08","2,748.31","2,709.61","1.46M","-0.40%"
"07-08-2024","2,733.17","2,770.67","2,770.82","2,724.65","1.71M","-0.22%"
"06-08-2024","2,739.14","2,709.31","2,760.76","2,697.91","2.30M","1.26%"
"05-08-2024","2,705.13","2,665.34","2,731.13","2,655.63","3.12M","0.87%"
"02-08-2024","2,681.87","2,701.24","2,748.56","2,670.52","1.74M","-0.85%"
"01-08-2024","2,704.78","2,703.24","2,714.14","2,684.51","1.89M","0.37%"
"31-07-2024","2,694.92","2,694.27","2,698.90","2,664.44","1.75M","0.53%"
"30-07-2024","2,680.73","2,704.83","2,743.43","2,674.75","1.56M","-0.74%"
"29-07-2024","2,700.85","2,700.45","2,709.21","2,682.12","957.01K","0.02%"
"26-07-2024","2,700.30","2,713.20","2,716.19","2,676.59","2.14M","0.14%"
"25-07-2024","2,696.46","2,706.27","2,714.04","2,659.41","2.17M","-0.36%"
"24-07-2024","2,706.27","2,737.10","2,746.51","2,664.49","3.61M","-1.78%"
"23-07-2024","2,755.38","2,735.11","2,800.15","2,721.17","3.91M","1.14%"
"22-07-2024","2,724.45","2,694.97","2,739.04","2,694.92","1.91M","0.30%"
"19-07-2024","2,716.19","2,728.14","2,732.12","2,705.18","1.67M","-0.42%"
"18-07-2024","2,727.54","2,689.29","2,740.29","2,644.47","5.57M","1.86%"
"16-07-2024","2,677.79","2,615.53","2,714.19","2,614.14","3.30M","2.60%"
"15-07-2024","2,609.91","2,617.58","2,618.82","2,603.28","920.10K","-0.07%"
"12-07-2024","2,611.85","2,590.68","2,629.03","2,590.68","1.91M","0.51%"
"11-07-2024","2,598.50","2,606.62","2,606.67","2,579.78","1.43M","-0.06%"
"10-07-2024","2,600.10","2,570.76","2,615.58","2,562.79","1.76M","0.78%"
"09-07-2024","2,579.88","2,576.89","2,603.63","2,557.81","1.48M","0.12%"
"08-07-2024","2,576.89","2,549.85","2,584.71","2,526.19","2.82M","1.58%"
