"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","134.14","135.13","135.82","133.33","12.69M","-0.46%"
"14-11-2024","134.76","135.50","136.84","133.75","17.43M","-0.90%"
"13-11-2024","135.99","138.24","139.30","135.50","12.50M","-2.02%"
"12-11-2024","138.79","139.60","141.96","138.50","10.56M","-0.46%"
"11-11-2024","139.43","138.80","140.70","137.67","17.67M","-0.65%"
"08-11-2024","140.34","143.81","144.39","140.00","15.32M","-2.64%"
"07-11-2024","144.15","144.66","145.74","143.12","14.64M","-0.32%"
"06-11-2024","144.61","141.61","145.14","141.37","18.11M","2.71%"
"05-11-2024","140.80","137.99","141.10","137.67","18.59M","1.35%"
"04-11-2024","138.93","144.58","144.58","136.36","46.65M","-4.18%"
"01-11-2024","144.99","144.30","145.50","143.00","4.08M","1.66%"
"31-10-2024","142.62","143.40","144.40","141.60","18.66M","-0.54%"
"30-10-2024","143.40","143.60","145.44","142.25","17.39M","-0.50%"
"29-10-2024","144.12","141.01","145.10","140.56","35.28M","-1.97%"
"28-10-2024","147.02","148.60","149.73","145.00","21.35M","0.49%"
"25-10-2024","146.31","153.50","153.95","145.45","20.51M","-4.54%"
"24-10-2024","153.27","152.94","154.34","152.52","8.65M","0.22%"
"23-10-2024","152.94","154.90","155.54","150.15","16.50M","-1.53%"
"22-10-2024","155.31","160.00","160.74","154.86","15.19M","-3.00%"
"21-10-2024","160.12","165.10","166.68","159.75","20.63M","-3.16%"
"18-10-2024","165.35","163.30","165.97","161.74","11.70M","0.65%"
"17-10-2024","164.28","168.00","168.60","164.00","13.22M","-2.44%"
"16-10-2024","168.39","168.25","171.65","167.61","21.43M","0.27%"
"15-10-2024","167.93","168.00","169.65","166.50","22.55M","1.49%"
"14-10-2024","165.47","164.15","166.01","162.85","14.35M","1.42%"
"11-10-2024","163.15","164.39","164.74","162.60","8.75M","-0.75%"
"10-10-2024","164.39","165.17","167.20","164.01","10.15M","-0.21%"
"09-10-2024","164.74","167.79","169.24","164.46","20.28M","0.30%"
"08-10-2024","164.24","162.05","165.00","160.76","14.95M","0.92%"
"07-10-2024","162.74","170.79","170.79","162.10","19.80M","-3.50%"
"04-10-2024","168.65","169.50","170.49","165.60","25.22M","-1.56%"
"03-10-2024","171.33","173.22","176.20","170.73","25.39M","-4.32%"
"01-10-2024","179.06","180.00","181.34","177.27","17.39M","-0.61%"
"30-09-2024","180.15","179.71","182.46","176.17","33.38M","0.08%"
"27-09-2024","180.01","171.60","180.75","171.50","52.10M","5.05%"
"26-09-2024","171.36","170.21","171.90","168.61","11.35M","0.91%"
"25-09-2024","169.82","169.60","170.94","168.50","8.75M","-0.04%"
"24-09-2024","169.89","169.17","170.95","168.80","10.03M","0.09%"
"23-09-2024","169.73","167.55","170.20","167.00","9.39M","1.60%"
"20-09-2024","167.05","165.40","167.75","165.00","20.65M","1.22%"
"19-09-2024","165.04","168.89","169.94","162.19","19.20M","-2.02%"
"18-09-2024","168.45","170.60","171.06","167.60","10.73M","-1.21%"
"17-09-2024","170.51","171.32","171.95","170.05","6.42M","-0.76%"
"16-09-2024","171.82","173.80","174.11","171.59","8.49M","-0.79%"
"13-09-2024","173.19","173.25","176.00","172.45","15.06M","-0.04%"
"12-09-2024","173.26","171.49","173.70","170.07","18.37M","2.07%"
"11-09-2024","169.74","176.99","177.89","169.09","29.73M","-3.31%"
"10-09-2024","175.55","176.11","176.74","174.55","14.88M","0.12%"
"09-09-2024","175.34","175.50","177.21","173.65","15.12M","-0.74%"
"06-09-2024","176.64","181.09","181.29","174.70","31.88M","-2.59%"
"05-09-2024","181.34","178.65","184.00","177.91","46.16M","2.43%"
"04-09-2024","177.03","177.00","179.70","176.11","23.92M","0.51%"
"03-09-2024","176.13","178.60","178.91","175.60","11.87M","-1.45%"
"02-09-2024","178.73","179.25","181.20","177.01","26.94M","0.99%"
"30-08-2024","176.97","178.00","178.78","176.12","22.29M","0.07%"
"29-08-2024","176.84","173.89","177.30","173.16","21.38M","1.78%"
"28-08-2024","173.75","173.25","176.50","173.23","14.45M","0.29%"
"27-08-2024","173.25","172.80","174.63","171.75","11.13M","-0.12%"
"26-08-2024","173.46","174.00","174.37","172.40","8.95M","0.19%"
"23-08-2024","173.13","173.60","175.49","172.67","13.82M","-0.38%"
"22-08-2024","173.79","174.88","175.49","173.40","11.81M","-0.06%"
"21-08-2024","173.89","173.00","174.85","172.11","15.64M","0.96%"
"20-08-2024","172.23","171.99","173.40","171.03","15.53M","1.26%"
"19-08-2024","170.08","170.00","170.81","169.32","11.46M","1.74%"
"16-08-2024","167.17","165.25","167.45","164.85","10.62M","2.09%"
"14-08-2024","163.74","165.01","165.64","163.10","14.37M","-0.23%"
"13-08-2024","164.12","168.31","168.69","163.01","16.62M","-2.98%"
"12-08-2024","169.16","168.00","171.00","167.79","11.56M","0.04%"
"09-08-2024","169.09","172.10","173.00","168.80","14.14M","-0.67%"
"08-08-2024","170.23","171.99","172.12","169.20","14.93M","-1.16%"
"07-08-2024","172.22","171.24","172.50","169.07","15.59M","3.12%"
"06-08-2024","167.01","172.00","174.40","166.28","18.08M","-2.10%"
"05-08-2024","170.59","172.00","174.88","166.99","37.58M","-3.78%"
"02-08-2024","177.29","178.00","179.29","174.64","27.10M","-1.36%"
"01-08-2024","179.73","182.00","182.49","177.87","26.18M","-1.07%"
"31-07-2024","181.67","183.50","184.85","180.08","32.73M","-0.70%"
"30-07-2024","182.95","180.00","185.97","178.31","75.82M","1.42%"
"29-07-2024","180.39","178.00","181.70","178.00","42.91M","2.18%"
"26-07-2024","176.55","178.34","178.92","175.55","27.26M","-0.17%"
"25-07-2024","176.85","166.89","177.56","166.54","75.89M","4.78%"
"24-07-2024","168.79","165.82","169.25","165.56","16.08M","1.79%"
