"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","250.65","251.10","252.10","247.10","14.64M","-0.06%"
"14-11-2024","250.80","252.55","254.30","249.00","12.45M","-0.69%"
"13-11-2024","252.55","256.15","256.95","249.00","17.48M","-1.41%"
"12-11-2024","256.15","260.85","263.20","255.40","22.45M","-0.29%"
"11-11-2024","256.90","262.35","262.35","256.00","8.45M","-2.15%"
"08-11-2024","262.55","265.95","266.50","259.65","7.84M","-1.00%"
"07-11-2024","265.20","270.50","270.50","264.80","6.77M","-1.43%"
"06-11-2024","269.05","267.70","270.60","264.40","19.24M","0.62%"
"05-11-2024","267.40","265.20","268.60","263.60","11.68M","0.79%"
"04-11-2024","265.30","274.00","274.35","260.15","14.36M","-2.37%"
"01-11-2024","271.75","269.80","274.00","268.65","2.96M","2.10%"
"31-10-2024","266.15","263.40","268.30","261.15","16.17M","1.72%"
"30-10-2024","261.65","265.00","266.20","261.05","11.17M","-1.26%"
"29-10-2024","265.00","263.35","265.55","259.40","9.12M","0.63%"
"28-10-2024","263.35","260.65","265.05","255.30","13.84M","-0.27%"
"25-10-2024","264.05","270.00","270.30","261.60","12.96M","-1.88%"
"24-10-2024","269.10","271.90","272.45","268.35","7.49M","-0.65%"
"23-10-2024","270.85","270.00","274.40","265.05","18.82M","0.02%"
"22-10-2024","270.80","278.00","278.15","270.00","10.03M","-2.10%"
"21-10-2024","276.60","281.15","284.00","274.55","10.30M","-2.36%"
"18-10-2024","283.30","282.00","284.50","279.20","14.03M","0.60%"
"17-10-2024","281.60","285.00","287.60","280.95","13.34M","-1.33%"
"16-10-2024","285.40","283.00","287.25","280.65","18.19M","0.60%"
"15-10-2024","283.70","286.40","286.40","280.85","15.09M","-0.98%"
"14-10-2024","286.50","292.70","292.90","285.15","12.69M","-2.07%"
"11-10-2024","292.55","291.30","293.65","289.50","7.01M","1.32%"
"10-10-2024","288.75","288.70","292.15","287.55","7.24M","0.09%"
"09-10-2024","288.50","291.25","291.90","286.85","13.15M","-1.69%"
"08-10-2024","293.45","288.15","293.90","280.55","10.57M","1.38%"
"07-10-2024","289.45","296.00","296.30","281.50","20.92M","-1.96%"
"04-10-2024","295.25","297.00","299.70","293.20","23.10M","1.10%"
"03-10-2024","292.05","295.00","298.00","290.55","28.12M","0.03%"
"01-10-2024","291.95","297.00","299.15","290.70","10.92M","-1.90%"
"30-09-2024","297.60","297.00","301.80","293.75","16.29M","0.13%"
"27-09-2024","297.20","292.70","298.45","289.70","35.71M","0.68%"
"26-09-2024","295.20","297.05","298.70","291.50","27.81M","-1.17%"
"25-09-2024","298.70","299.45","301.20","296.70","10.61M","-0.25%"
"24-09-2024","299.45","296.30","302.00","294.70","16.99M","1.35%"
"23-09-2024","295.45","288.40","296.40","287.55","14.62M","3.21%"
"20-09-2024","286.25","287.00","289.05","285.20","16.59M","0.35%"
"19-09-2024","285.25","287.40","289.20","282.50","17.07M","-1.77%"
"18-09-2024","290.40","297.60","297.80","287.90","13.42M","-1.44%"
"17-09-2024","294.65","293.70","296.60","292.15","11.87M","0.74%"
"16-09-2024","292.50","294.80","295.40","291.35","10.97M","0.36%"
"13-09-2024","291.45","295.70","297.25","291.05","13.67M","-0.88%"
"12-09-2024","294.05","288.00","294.75","286.50","21.96M","3.07%"
"11-09-2024","285.30","292.40","292.40","283.25","44.83M","-3.48%"
"10-09-2024","295.60","300.10","301.50","295.00","15.62M","-1.10%"
"09-09-2024","298.90","308.70","308.70","294.65","30.37M","-3.21%"
"06-09-2024","308.80","311.50","313.15","303.70","27.95M","-0.83%"
"05-09-2024","311.40","316.95","316.95","310.15","15.57M","-0.95%"
"04-09-2024","314.40","315.00","316.20","308.40","25.40M","-2.42%"
"03-09-2024","322.20","327.00","328.00","321.65","10.32M","-1.23%"
"02-09-2024","326.20","330.00","331.95","325.80","8.98M","-1.38%"
"30-08-2024","330.75","330.45","334.40","329.55","19.67M","0.35%"
"29-08-2024","329.60","326.10","330.15","324.95","13.80M","0.55%"
"28-08-2024","327.80","328.65","330.30","324.65","12.45M","-0.32%"
"27-08-2024","328.85","329.40","332.55","326.00","20.17M","0.31%"
"26-08-2024","327.85","323.50","329.10","322.80","21.35M","2.81%"
"23-08-2024","318.90","324.40","324.80","317.55","13.23M","-1.68%"
"22-08-2024","324.35","328.55","330.50","323.60","13.39M","-1.02%"
"21-08-2024","327.70","330.65","331.50","326.50","11.84M","-0.73%"
"20-08-2024","330.10","335.85","336.00","328.05","14.97M","-1.55%"
"19-08-2024","335.30","335.00","338.75","333.55","19.64M","1.73%"
"16-08-2024","329.60","332.55","335.75","328.65","16.58M","0.44%"
"14-08-2024","328.15","335.85","336.50","326.80","17.81M","-2.31%"
"13-08-2024","335.90","344.10","345.00","332.95","28.94M","-1.58%"
"12-08-2024","341.30","332.75","344.70","329.90","34.75M","2.63%"
"09-08-2024","332.55","333.95","335.85","328.20","29.81M","3.05%"
"08-08-2024","322.70","329.00","329.00","321.70","23.48M","-1.94%"
"07-08-2024","329.10","312.40","330.95","312.00","66.11M","7.51%"
"06-08-2024","306.10","314.80","322.45","305.15","28.39M","-1.34%"
"05-08-2024","310.25","320.35","323.30","306.00","37.99M","-6.01%"
"02-08-2024","330.10","338.00","338.00","328.65","22.94M","-3.41%"
"01-08-2024","341.75","337.80","344.70","337.15","36.04M","2.26%"
"31-07-2024","334.20","332.05","337.45","329.75","21.39M","0.69%"
"30-07-2024","331.90","332.00","338.25","331.00","19.79M","-0.30%"
"29-07-2024","332.90","333.80","339.55","330.75","26.72M","0.39%"
"26-07-2024","331.60","336.50","338.50","330.10","25.70M","-1.25%"
"25-07-2024","335.80","318.05","337.55","316.10","42.05M","5.09%"
"24-07-2024","319.55","313.05","325.75","312.10","28.26M","1.72%"
"23-07-2024","314.15","320.05","321.40","297.40","37.87M","-2.07%"
"22-07-2024","320.80","320.00","323.35","314.50","22.23M","0.36%"
"19-07-2024","319.65","333.00","333.20","318.05","26.58M","-3.63%"
"18-07-2024","331.70","325.10","333.30","321.65","48.19M","2.80%"
"16-07-2024","322.65","323.60","327.60","319.75","37.47M","0.05%"
"15-07-2024","322.50","311.80","323.65","308.65","51.44M","5.01%"
"12-07-2024","307.10","306.80","311.75","304.20","31.79M","0.77%"
"11-07-2024","304.75","300.00","307.20","295.15","36.02M","2.21%"
"10-07-2024","298.15","299.70","299.80","288.85","19.28M","0.24%"
"09-07-2024","297.45","300.80","301.85","293.35","18.69M","-0.57%"
"08-07-2024","299.15","290.00","303.00","287.35","53.14M","3.80%"
"05-07-2024","288.20","277.25","289.30","276.50","39.78M","4.02%"
"04-07-2024","277.05","275.00","278.90","273.05","13.44M","0.86%"
"03-07-2024","274.70","276.00","277.70","274.00","9.13M","-0.05%"
"02-07-2024","274.85","273.20","279.80","271.50","24.47M","0.70%"
"01-07-2024","272.95","275.00","275.80","271.60","11.75M","-0.46%"
"28-06-2024","274.20","269.00","275.45","268.35","19.53M","2.50%"
"27-06-2024","267.50","267.40","268.10","263.50","22.83M","-0.09%"
"26-06-2024","267.75","266.90","269.15","264.10","10.65M","0.28%"
"25-06-2024","267.00","270.10","270.80","265.00","14.43M","-1.07%"
