"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","1,279.30","1,264.00","1,288.90","1,261.30","1.45M","1.17%"
"14-11-2024","1,264.55","1,289.95","1,296.65","1,260.65","2.96M","-1.81%"
"13-11-2024","1,287.90","1,322.00","1,329.25","1,284.85","1.44M","-2.87%"
"12-11-2024","1,326.00","1,348.05","1,354.80","1,320.00","1.04M","-1.62%"
"11-11-2024","1,347.90","1,355.10","1,357.95","1,339.05","1.27M","-1.04%"
"08-11-2024","1,362.10","1,353.10","1,367.30","1,338.60","1.40M","0.67%"
"07-11-2024","1,353.10","1,372.95","1,372.95","1,350.00","1.29M","-1.23%"
"06-11-2024","1,370.00","1,330.00","1,382.00","1,315.20","3.65M","3.06%"
"05-11-2024","1,329.35","1,350.00","1,353.05","1,295.90","4.85M","-1.47%"
"04-11-2024","1,349.25","1,394.20","1,395.00","1,336.00","1.70M","-3.24%"
"01-11-2024","1,394.40","1,386.50","1,397.95","1,378.40","243.88K","1.34%"
"31-10-2024","1,375.95","1,407.95","1,408.00","1,372.10","1.89M","-1.45%"
"30-10-2024","1,396.20","1,379.95","1,414.90","1,358.05","2.53M","1.71%"
"29-10-2024","1,372.70","1,364.70","1,377.45","1,322.00","3.79M","1.52%"
"28-10-2024","1,352.20","1,326.85","1,364.10","1,303.15","2.13M","2.54%"
"25-10-2024","1,318.70","1,360.00","1,368.00","1,304.15","2.08M","-2.64%"
"24-10-2024","1,354.40","1,345.00","1,359.00","1,336.20","1.12M","1.04%"
"23-10-2024","1,340.45","1,362.80","1,370.80","1,335.20","1.92M","-1.64%"
"22-10-2024","1,362.85","1,374.70","1,387.10","1,353.90","2.47M","-0.92%"
"21-10-2024","1,375.50","1,409.90","1,412.90","1,371.30","1.64M","-2.14%"
"18-10-2024","1,405.60","1,389.00","1,410.55","1,376.00","1.29M","0.78%"
"17-10-2024","1,394.70","1,403.80","1,408.00","1,387.55","1.42M","-0.65%"
"16-10-2024","1,403.80","1,418.00","1,418.40","1,392.00","1.45M","-1.16%"
"15-10-2024","1,420.30","1,415.95","1,424.70","1,407.00","1.02M","0.71%"
"14-10-2024","1,410.30","1,418.00","1,426.00","1,407.15","762.38K","0.15%"
