"Category","Stock","Date","Price","Open","High","Low","Vol.","Change.."
"Infrastructure","Ambuja Cements","18-11-2024","550.55","541","555","537.9","1.71M","1.11%"
"Infrastructure","Ambuja Cements","14-11-2024","544.5","545.35","552.3","541.05","1.54M","-0.16%"
"Infrastructure","Ambuja Cements","13-11-2024","545.35","554","558.25","541.25","838.60K","-2.02%"
"Infrastructure","Ambuja Cements","12-11-2024","556.6","561.95","565.5","554.5","761.98K","-0.68%"
"Infrastructure","Ambuja Cements","11-11-2024","560.4","564","567.8","558.55","745.18K","-0.80%"
"Infrastructure","Ambuja Cements","08-11-2024","564.9","574.7","574.7","561.5","901.22K","-1.02%"
"Infrastructure","Ambuja Cements","07-11-2024","570.7","584.2","585.05","569.4","822.61K","-2.05%"
"Infrastructure","Ambuja Cements","06-11-2024","582.65","572","585","572","1.68M","1.86%"
"Infrastructure","Ambuja Cements","05-11-2024","572","571","575","565.35","625.47K","0.11%"
"Infrastructure","Ambuja Cements","04-11-2024","571.4","579.95","580.7","566","1.06M","-1.90%"
"Infrastructure","Ambuja Cements","01-11-2024","582.45","582.95","585.5","580.05","216.56K","0.33%"
"Infrastructure","Ambuja Cements","31-10-2024","580.55","579.7","586.8","574.35","2.02M","0.15%"
"Infrastructure","Ambuja Cements","30-10-2024","579.7","574.9","585.75","570.45","2.36M","0.82%"
"Infrastructure","Ambuja Cements","29-10-2024","575","570","576.25","566.65","2.42M","0.98%"
"Infrastructure","Ambuja Cements","28-10-2024","569.4","552.7","582.25","547.05","6.42M","3.02%"
"Infrastructure","Ambuja Cements","25-10-2024","552.7","556.05","561","545.2","1.61M","-1.11%"
"Infrastructure","Ambuja Cements","24-10-2024","558.9","557","562.55","553.5","1.33M","0.55%"
"Infrastructure","Ambuja Cements","23-10-2024","555.85","561","564.55","551.7","4.34M","-0.47%"
"Infrastructure","Ambuja Cements","22-10-2024","558.5","569","583.25","556.1","5.53M","-2.34%"
"Infrastructure","Ambuja Cements","21-10-2024","571.9","574.3","577.9","566.3","3.65M","-0.36%"
