"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","1,660.80","1,684.75","1,688.00","1,633.25","1.62M","-1.58%"
"14-11-2024","1,687.50","1,663.00","1,692.00","1,663.00","1.92M","0.71%"
"13-11-2024","1,675.60","1,680.00","1,689.00","1,663.65","1.06M","-0.68%"
"12-11-2024","1,687.00","1,710.00","1,710.50","1,684.00","1.41M","-1.01%"
"11-11-2024","1,704.15","1,672.80","1,715.45","1,666.05","1.59M","1.36%"
"08-11-2024","1,681.35","1,660.00","1,686.45","1,650.05","1.88M","1.84%"
"07-11-2024","1,651.00","1,695.00","1,715.50","1,644.35","1.29M","-2.51%"
"06-11-2024","1,693.55","1,649.95","1,697.75","1,635.00","3.16M","3.73%"
"05-11-2024","1,632.65","1,638.30","1,654.00","1,623.80","1.38M","-0.35%"
"04-11-2024","1,638.40","1,614.00","1,640.25","1,608.05","2.75M","2.17%"
"01-11-2024","1,603.65","1,619.00","1,619.00","1,598.80","249.24K","-0.31%"
"31-10-2024","1,608.65","1,666.60","1,669.80","1,595.55","3.64M","-4.53%"
"30-10-2024","1,684.95","1,704.10","1,712.15","1,682.25","1.31M","-0.80%"
"29-10-2024","1,698.50","1,709.00","1,724.10","1,680.35","1.50M","-0.24%"
"28-10-2024","1,702.55","1,710.00","1,727.95","1,693.20","1.27M","-0.81%"
"25-10-2024","1,716.45","1,735.75","1,742.40","1,710.35","1.74M","-1.11%"
"24-10-2024","1,735.75","1,735.05","1,748.00","1,728.05","1.57M","-0.01%"
"23-10-2024","1,735.95","1,696.55","1,749.00","1,685.60","4.20M","2.32%"
"22-10-2024","1,696.55","1,703.40","1,726.95","1,691.45","2.48M","-0.27%"
"21-10-2024","1,701.20","1,745.00","1,761.85","1,690.05","5.90M","0.79%"
"18-10-2024","1,687.90","1,695.00","1,702.40","1,645.60","3.12M","-0.65%"
"17-10-2024","1,699.00","1,660.70","1,709.90","1,656.00","3.77M","2.33%"
"16-10-2024","1,660.30","1,670.00","1,677.45","1,652.80","1.07M","-0.90%"
"15-10-2024","1,675.35","1,700.00","1,703.45","1,663.50","2.50M","-1.01%"
"14-10-2024","1,692.50","1,648.00","1,697.00","1,648.00","2.07M","2.76%"
"11-10-2024","1,647.05","1,603.00","1,650.00","1,603.00","1.02M","1.69%"
"10-10-2024","1,619.70","1,673.00","1,675.95","1,611.35","1.52M","-2.36%"
"09-10-2024","1,658.80","1,639.00","1,669.80","1,632.05","2.18M","1.82%"
"08-10-2024","1,629.10","1,625.00","1,635.00","1,603.60","1.31M","0.65%"
"07-10-2024","1,618.55","1,624.95","1,632.05","1,600.20","1.62M","0.13%"
"04-10-2024","1,616.45","1,591.00","1,648.40","1,591.00","2.93M","0.77%"
"03-10-2024","1,604.05","1,615.00","1,631.15","1,596.15","2.33M","-1.31%"
"01-10-2024","1,625.40","1,580.00","1,642.90","1,580.00","5.18M","3.06%"
"30-09-2024","1,577.20","1,606.00","1,606.00","1,567.85","3.46M","-1.99%"
"27-09-2024","1,609.25","1,625.00","1,664.80","1,604.55","3.54M","0.14%"
"26-09-2024","1,606.95","1,610.00","1,619.85","1,596.00","2.17M","0.26%"
"25-09-2024","1,602.75","1,637.10","1,643.10","1,590.05","2.51M","-2.10%"
"24-09-2024","1,637.10","1,601.55","1,643.50","1,598.10","1.78M","1.86%"
"23-09-2024","1,607.15","1,624.95","1,631.00","1,594.50","1.54M","-0.92%"
"20-09-2024","1,622.05","1,608.00","1,629.30","1,582.40","3.98M","1.67%"
"19-09-2024","1,595.35","1,620.00","1,635.35","1,587.05","3.03M","-0.63%"
"18-09-2024","1,605.40","1,648.15","1,648.15","1,589.00","2.93M","-2.79%"
"17-09-2024","1,651.55","1,649.00","1,672.00","1,641.10","1.50M","0.15%"
"16-09-2024","1,649.00","1,651.10","1,670.00","1,646.50","1.06M","-0.43%"
"13-09-2024","1,656.05","1,649.90","1,659.90","1,638.00","1.37M","0.78%"
"12-09-2024","1,643.25","1,619.90","1,649.60","1,606.00","2.36M","2.54%"
"11-09-2024","1,602.60","1,612.00","1,627.00","1,598.10","1.40M","-0.30%"
"10-09-2024","1,607.40","1,592.00","1,613.70","1,578.50","2.54M","1.79%"
"09-09-2024","1,579.20","1,623.20","1,631.30","1,574.75","2.97M","-2.71%"
"06-09-2024","1,623.25","1,639.50","1,651.20","1,613.95","1.67M","-0.99%"
"05-09-2024","1,639.50","1,653.00","1,657.90","1,632.90","1.08M","-0.35%"
"04-09-2024","1,645.30","1,619.75","1,650.00","1,608.90","1.64M","0.07%"
"03-09-2024","1,644.10","1,639.00","1,659.25","1,632.10","1.74M","-0.15%"
"02-09-2024","1,646.65","1,636.50","1,662.00","1,635.55","1.58M","0.62%"
"30-08-2024","1,636.50","1,647.00","1,663.75","1,631.10","1.93M","-0.66%"
"29-08-2024","1,647.35","1,620.05","1,656.25","1,620.05","2.19M","1.23%"
"28-08-2024","1,627.35","1,620.00","1,665.00","1,616.20","3.03M","0.17%"
"27-08-2024","1,624.60","1,644.00","1,645.00","1,622.10","1.08M","-0.95%"
"26-08-2024","1,640.15","1,610.00","1,643.00","1,609.00","1.51M","2.61%"
"23-08-2024","1,598.40","1,613.05","1,616.95","1,593.05","1.02M","-0.80%"
"22-08-2024","1,611.25","1,605.05","1,620.65","1,596.00","1.56M","0.41%"
"21-08-2024","1,604.65","1,616.00","1,628.00","1,602.00","1.94M","-1.47%"
"20-08-2024","1,628.60","1,601.00","1,633.65","1,595.25","2.44M","2.13%"
"19-08-2024","1,594.65","1,587.85","1,602.70","1,575.85","1.64M","0.59%"
"16-08-2024","1,585.30","1,558.40","1,589.00","1,531.30","3.22M","4.00%"
"14-08-2024","1,524.40","1,512.00","1,529.45","1,505.00","2.83M","1.40%"
"13-08-2024","1,503.40","1,508.30","1,523.65","1,495.15","580.90K","-0.60%"
"12-08-2024","1,512.50","1,506.70","1,524.50","1,489.40","1.81M","0.38%"
"09-08-2024","1,506.70","1,484.95","1,509.25","1,480.55","1.52M","2.74%"
"08-08-2024","1,466.45","1,470.00","1,488.15","1,462.00","2.33M","-0.49%"
"07-08-2024","1,473.65","1,500.80","1,515.25","1,471.00","3.00M","-0.66%"
"06-08-2024","1,483.40","1,465.50","1,503.00","1,465.50","1.67M","1.86%"
"05-08-2024","1,456.35","1,470.00","1,484.25","1,426.75","2.19M","-3.41%"
"02-08-2024","1,507.70","1,525.50","1,533.55","1,502.30","2.89M","-2.38%"
"01-08-2024","1,544.45","1,554.40","1,569.00","1,537.60","1.32M","-0.64%"
"31-07-2024","1,554.40","1,538.00","1,561.75","1,535.00","2.40M","1.06%"
"30-07-2024","1,538.05","1,520.00","1,551.95","1,520.00","1.62M","0.83%"
"29-07-2024","1,525.35","1,545.65","1,554.70","1,510.05","1.76M","-1.03%"
"26-07-2024","1,541.15","1,530.00","1,544.65","1,444.25","7.13M","0.73%"
"25-07-2024","1,530.00","1,525.00","1,547.55","1,504.90","3.28M","-0.22%"
